artist,genre,lyric,title
Projota,Hip Hop/Rap,"Ela chora, me olha, me chama de canto,Me diz pra ficar quieto porque não sou eu o motivo do pranto,Eu canto baixinho pra ela,Desafino de propósito pra ver se eu arranco um sorriso dela ( mas não),Eu fico quieto, ela fica quieta, a gente se olha,Nas suas lágrimas a gente se molha,No meio das cobertas a gente se enrola, se sente e se vê,Daria o mundo pro meu mundo ser você,Menina, quantas vezes ja te liguei bolado com essa vida,Voz de vadio embreagado sem bebida,Na descida todo santo ajuda a proteger,Mas na subida da minha vida quem tá me ajudando é só você,Firmeza, firmão, tranquilo, então,Eu que jurava ter nascido um louco sem noção,Vejo que essa noção sempre teve dentro de mim,Porque eu perco ela toda vez que eu te vejo tão triste assim,Ela vai ( ela vai ), ela vai ( ela vai ), vai!,Menina vai chorar,Mas eu vou tá por lá pra te ver, pra te olhar,Te abraçar, te escutar, te entender,Ela chora, aperta a minha mão,Me conta os problemas dela, olha meu olho e me chama de solução,Eu seguro meu choro de emoção, prendo as lágrimas,Porque hoje pra te ver sorrir preciso bancar o durão,Ela deita no meu peito,Peço aos anjos que nos deixem a sós, pois o trabalho deles ja foi feito,Agora eu, ela, ela, eu,Que tenho dó mas nem ligo, de cada pessoa que te perdeu,Deixo a janela aberta pra te ver melhor,Busco a palavra certa pra te ver melhor,Tu sabe que a minha meta é só te ver melhor,Te fazer melhor, porque você me fez melhor,As vezes acho que a sina de todo homem pegador,É se perder em diversas paixões atrás do amor,Mas das minhas paixões você foi a maior,E o pior, é que dos amores você é o melhor,Eu não preciso sair, te pagar rolê,Nem deixar de tá com os amigos pra tá com você,Não tenho que aguentar seu chilique, sua deprê,Mas memo sem precisar tudo isso, só de te olhar me faz querer,Várias vezes ja senti, minha alma quase explodir,De alegria, e todas vezes foram depois que eu te conheci,Ela chora, a vida segue lá fora,E eu aqui, esperando até quando ela sorrir.,Ela vai ( ela vai ), ela vai ( ela vai ), vai!,Menina vai chorar,Mas eu vou tá por lá pra te ver, pra te olhar,Te abraçar, te escutar, te entender,Ela vai, ela vai, ela vai, ela vai...",Ela Chora
Humberto e Ronaldo,Sertanejo,"Tô num tipo de negócio novo,Não tem segredo, é só aproveitar,Mudei de vida, tô de carro novo,Nunca gostei tanto de trabalhar,Larguei de ser advogado,Hoje faço o que eu quiser,Não tem patrão, não tem horário,Nem tem mais o que dizer,Se Deus me deu um grande dom,Trabalho duro noite e dia,Pintou vontade, é só chamar,Tô vendendo beijo pra mulher que tá sozinha,Tô vendendo beijo pras bonita e pras feinha,Tô vendendo beijo,Sou seu beijoqueiro é só chamar que eu vou já, já",Tô Vendendo Beijo
3030,Hip Hop/Rap,"Nesse mundo de ilusões onde passamos nossos dias,Não posso ser quem eu sou,Minha vida se confunde meio a cenas vazias,De ódio e de amor,Onde se convence o povo a comprar o que não precisa,Meu Deus, aonde é que eu estou?,Se você passar lá em casa por favor, meu bem, avisa,Quero esconder o meu mundo,Posso sofrer, posso chorar e até cair,Mas essa noite amor, eu vou morrer de rir,Posso sofrer, posso chorar e até cair,Mas certos dias eu me encontro assim,Pois sem amor, vejo que estou,Num mundo de ilusões,Escondo as emoções atrás de um computador,Trancado no banheiro, já com os olhos vermelhos,Eu tento esconder minha dor,Meu bem, o que eu queria era estar na Bahia,Com você, não existe um final,Sem luz, sem energia, sem carro, sem correria,Colhendo frutas no meu quintal,Posso sofrer, posso chorar e até cair,Mas essa noite, amor, eu vou morrer de rir,Quero viver, fazer um som, me distrair,Mas certos dias, eu me encontro assim,Pois sem amor vejo que estou assim,Procurando encontrar uma direção nesse mundo de ilusão.,Só espero que não caminhe rente à multidão,Surda e muda, sem visão, fingem não prestar atenção,Quanto estão amordaçados pela manipulação,E por mais que eu tente é sempre,Diferente o que a alma sente o que a mente entende,Pouco a gente entende, pouca gente entende,O que é relevante ultimamente, tão distante,Mais descrente do que antes fez-se o povo ignorante,Nesse instante pessoas brilhantes crescem nas favelas,Em um instante ideias brilhantes morrem atrás de telas,Nas novelas em um anúncio de TV,Monitores que amenizam dores, falsos amenizadores,Procuro me dar mais um tempo, pensar no futuro,Esfriar minha cabeça, respirar fundo, quem sabe,Além do mundo, eu mesmo me iludo, finjo que esqueço de tudo,No momento eu só penso em fazer um som pra viver,Fecho os olhos pra não ver, permito não perceber,A frieza urbana, fraqueza humana, modo que voa a semana,Tempo que engana cidade, que esgana sistema,Que explana sua forma tirana enquanto,Se eu me desligasse até podia enxergar nós na Bahia, eu e você,Sendo abençoados por um novo dia,Parece até ironia hoje ser só nostalgia,Que preenche um espaço no meu peito em lacunas vazias,Dias de agonia, distância judia,A mente cria na melancolia mil filosofias, me alivia,Mesmo que por pouco tempo, a dor beneficia,Hoje o sofrimento virou poesia,Posso sofrer, posso chorar e até cair,Mas essa noite, amor, eu vou morrer de rir,Quero viver, fazer um som, me distrair,Mas certos dias eu me encontro assim,Pois sem amor vejo que estou assim",Mundo de Ilusões
Emicida,Hip Hop/Rap,"Hoje cedo,Quando eu acordei e não te vi,Eu pensei em tanta coisa,Tive medo,Ah, como eu chorei, eu sofri,Em segredo,Tudo isso,Hoje cedo,Holofotes fortes, purpurina,E o sorriso dessas mina só me lembra cocaína,Em cinco (cinco) abrem-se cortinas,Estáticas retinas brilham, garoa fina,Que fita!,Meus poema me trouxe onde eles não habita,A fama irrita, grana dita, cê desacredita,Fantoches, pique Celso Pitta mentem,Mortos tipo meu pai, nem eu me sinto presente, aí,É rima que cês qué? Toma duas, três,Farta pra infartar cada um de vocês,Num abismo sem volta, de festa, ladainha,Minha alma afunda igual minha família,Em casa, sozinha,Entre putas, como um cafetão,Coisas que afetam, sintonia,Como sonhei em tá aqui um dia,Crise, trampo, ideologia, pause,E é aqui, onde nóis entende a Amy Winehouse,Hoje cedo,Quando eu acordei (quando acordei) e não te vi,Eu pensei em tanta coisa,Tive medo,Ah, como eu chorei, (a sós) eu sofri,Em segredo,Tudo isso,Hoje cedo,Vagabundo, a trilha é um precipício, tenso,O melhor, quero salvar o mundo,Pois desisti da minha família,E numa luta mais difícil, a frustração vai ser menor,Digno de dó (dó), só o pó,Vazio comum que já é moda no século 21,Blacks com voz sagaz gravada,Contra vilões que sangra a quebrada,Só que raps por nóiz, por paz, mais nada,Me pôs nas gerais, numa cela trancada,Eu lembrei do Racionais, reflexão,Aí, os próprio preto num tá nem aí com isso, não,É um clichê romântico, triste,Vai perceber, vai ver, se matou e o paraíso não existe,Eu ainda sou o Emicida da rinha,Lotei casas do Sul ao Norte,Mas esvaziei a minha,E vou por aí, Taleban,Vendo os boy beber,Dois mês de salário da minha irmã,Hennessys, avelãs, camarins, fãs, globais,Mano, onde eles tavam há dez anos atrás? (Pois é),Showbiz como a regra diz, lek,A sociedade vende Jesus, por que não ia vender rap?,O mundo vai se ocupar com seu cifrão,Dizendo que a miséria é quem carecia de atenção,Hoje cedo,Quando eu acordei (eu olhei) e não te vi,Eu pensei em tanta coisa,Tive medo,Ah, como eu chorei (eu chorei), eu sofri,Em segredo,Tudo isso,Hoje cedo",Hoje Cedo (part. Pitty)
Sampa Crew,Hip Hop/Rap,"Amor escrevo, essa carta e me abro,Espero que leia e entenda o meu lado,É que venho sofrendo há tanto tempo que nem,Sei por onde começar a explicar, oh, meu bem,Quando me olhar tente entender,Não tenha pena de mim pelo que venha a saber,Não posso mais suportar por isso devo dizer:,Garota, eu amo você,Amo você, me dê uma chance de poder provar,Amo você, eu quero acordar ao teu lado e sonhar,Amo você, me dê uma chance de poder provar,Amo você, eu quero acordar ao teu lado e sonhar,Você é como a luz que desnuda as trevas,É a paz que habita no momento da guerra,E não há nesse mundo beleza maior,Sem você meu amor pra sempre estarei só,A poesia se confunde com a realidade,Pois tudo que te escrevo é a pura verdade,É o modo que tenho pra poder te dizer:,Garota eu amo você,Amo você, me dê uma chance de poder provar,Amo você, eu quero acordar ao teu lado e sonhar,Amo você, me dê uma chance de poder provar,Amo você, eu quero acordar ao teu lado e sonhar,Me de uma chance,Te amo tanto,Só uma chance,Eu amo você,Amo você, me dê uma chance de poder provar,Amo você, eu quero acordar ao teu lado e sonhar,Amo você, me dê uma chance de poder provar,Amo você, eu quero acordar ao teu lado e sonhar",A Carta
Victor e Leo,Sertanejo,"Eu queria ser um anjo,E não passo apenas do que sou,Te daria um par de estrelas,E o que tenho é o meu amor,Eu só sei sonhar contigo,Aceitando o meu regresso,Tenho medo de perdê-la,Te amo, confesso,Aonde estão seus olhos,Quando não estão em mim?,Aonde estão seus passos,Se não chegamos ao fim?,Eu voltaria aonde te deixei,Não queria que chorasse, chorei,Queria que me perdoasse,Não me perdoei,Eu queria ser um anjo,E não passo apenas do que sou,Te daria um par de estrelas,E o que tenho é o meu amor,Eu só sei sonhar contigo,Aceitando o meu regresso,Tenho medo de perdê-la,Te amo, confesso,Aonde estão seus olhos,Quando não estão em mim?,Aonde estão seus passos,Se não chegamos ao fim?,Eu voltaria aonde te deixei,Não queria que chorasse, chorei,Queria que me perdoasse,Não me perdoei",Não Me Perdoei
Zé Neto e Cristiano,Sertanejo,"Onde você pensa que vai,Com essas malas jogadas no chão,Com esse rosto coberto de pranto,E essa sombra no seu coração,Onde você pensa que vai,Senta aqui, ainda não acabou,Sei que nunca fui o mais perfeito,Nunca dei o que você sonhou,Mas agora eu posso ver,Que eu não saberia acordar todo dia,Olhar do meu lado e não te sentir,Não me aceitaria olhando no espelho,Sabendo que um dia te deixei partir,Eu não imagino como seja o mundo,Sem você por perto eu não posso seguir,Me desculpa por tudo que fiz,Se te fiz infeliz e nunca admiti,Te amo,Te amo,Te amo,Te amo,Onde você pensa que vai,Senta aqui, ainda não acabou,Sei que nunca fui o mais perfeito,Nunca dei o que você sonhou,É, mas agora eu posso ver,Que eu não saberia acordar todo dia,Olhar do meu lado e não te sentir,Não me aceitaria olhando no espelho,Sabendo que um dia te deixei partir,Eu não imagino como seja o mundo,Sem você por perto eu não posso seguir,Me desculpa por tudo que fiz,Se te fiz infeliz e nunca admiti,Eu não saberia acordar todo dia,Olhar do meu lado e não te sentir,Não me aceitaria olhando no espelho,Sabendo que um dia te deixei partir,Eu não imagino como seja o mundo,Sem você por perto eu não posso seguir,Me desculpa por tudo que fiz,Se te fiz infeliz e nunca admiti,Te amo,Te amo,Te amo,Te amo",Te Amo
Humberto e Ronaldo,Sertanejo,"Te quero tanto,Que nem cabe em mim,Se o tempo passa,,Eu sempre fico mais afim,Cada minuto é um ano,Quando não esta.,Se estou contigo,Tudo é único, é singular,É sempre que você me liga,Mudo toda minha rotina,So pra te encontrar,E cada vez que eu te vejo,Mais aumenta esse desejo,Bate forte o coração,So de te ouvir falar,To te querendo, cada minuto eu sou mais seu,Quero curtir contigo esse sentimento meu,To te esperando, to cada dia mais afim,So sei que eu te amo, e é simples assim.",Simples Assim (part. Cristiano Araujo)
Gabriel Gava ,Sertanejo,"De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,Arrocha, arrocha,De Land Rover é fácil, eu quero ver agora de Fiorino!,Simbora!,Motor 1.6, bebendo igual um pagodinho,Peguei da firma e os donos nem sabem que eu to curtindo,Corneta ta torando, grave empurrando tudo,Twitter balanceado, as menina chegando junto,Quer dançar? Vem pra cá, vem vem, vem quebrar tudo,Que Gabriel Gava tá chegando junto,Quer dançar? Vem pra cá, vem vem, vem quebrar tudo,Que Gabriel Gava tá chegando junto,Se a coisa ficar quente, meu amor, não se esquece,Que lá no fundo tem, tem uma colchonete,Se a coisa ficar quente, meu amor, não se esquece,Que lá no fundo tem, tem uma colchonete,De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,De Land Rover é fácil, é mole, é lindo,Quero ver tirar essa onda andando de Fiorino,Que isso, menina?!,Vamo andar de Fiorino com Gabriel Gava,Simbora!,Arrocha, arrocha!,Motor 1.6, bebendo igual um pagodinho,Peguei da firma e os donos nem sabem que eu to curtindo,Corneta ta torando, grave empurrando tudo,Twitter balanceado, as menina chegando junto,Quer dançar? Vem pra cá, vem vem, vem quebrar tudo,Que Gabriel Gava tá chegando junto,Quer dançar? Vem pra cá, vem vem, vem quebrar tudo,Que Gabriel Gava tá chegando junto,Se a coisa ficar quente, meu amor, não se esquece,Que lá no fundo tem, tem uma colchonete,Se a coisa ficar quente, meu amor, não se esquece,Que lá no fundo tem, tem uma colchonete,De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,De Land Rover é fácil, é mole, é lindo,Quero ver jogar a gata no fundo da Fiorino,De Land Rover é fácil, é mole, é lindo,Quero ver tirar essa onda andando de Fiorino,Simbora, moçada!,Vamo tirar onda",Fiorino
Thiago Matheus,Sertanejo,"Eu tenho um amigo que chora e reclama,Que, de sexta a domingo, sua balada é na cama,Vendo os seus amigos que ainda estão solteiros,Saindo todo dia, bebendo o dia inteiro, uôuô,Mas não adianta avisar, pois quem quer casar,Não quer escutar e quer pagar o preço,Depois não adianta chorar e nem reclamar,Quem quer casar escuta este conselho,Eu não quero casar, eu não quero casar,Eu não quero casar, eu não quero casar,Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar,Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar,Agora é golaço,Chega pra cá, nosso craque Daniel Alves,Tô chegando, Thiago Matheus,Eu tenho um amigo que chora e reclama,Que, de sexta a domingo, sua balada é na cama,Vendo os seus amigos que ainda estão solteiros,Saindo todo dia, bebendo o dia inteiro, uôuô,Mas não adianta avisar, pois quem quer casar,Não quer escutar e quer pagar o preço,Depois não adianta chorar e nem reclamar,Pois quem quer casar escuta este conselho,Eu não quero casar, eu não quero casar,Eu não quero casar, eu não quero casar,Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar,Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar,Mas meu amigo conseguiu fugir,E tá solteiro só por um dia,Mas sua mulher já descobriu,E acabou com sua alegria,Por isso,Eu não quero casar, eu não quero casar,Eu não quero casar, eu não quero casar,Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar,Eu vou pro bar, bar bar bar bar bar bar bar bar bar bar bar bar,Eu não quero casar, eu não quero casar,Eu não quero casar, eu não quero casar",Eu Não Quero Casar
Luan Santana,Sertanejo,"Não fique aí sofrendo,Com o coração doendo,Você se esqueceu,Que o seu amor sou eu,Não quero te ver chorando,Aí calada pelos cantos,Você se esqueceu,Que o seu amor sou eu,Nunca esqueça que estou aqui,Sempre a te esperar,Pra te amar,Me enlouqueça com seus carinhos,Pra gente sonhar,Mesmo quando for embora,A saudade vai fazer você voltar,Sei que o seu peito chora,Querendo me amar,Mas eu sei que nessa hora,As estrelas vão brilhar, enfim,Pois deixei o meu nome,Escrito no céu,Pra você lembrar de mim,Nunca esqueça que estou aqui,Sempre a te esperar,Pra te amar,Me enlouqueça com seus carinhos,Pra gente sonhar,Mesmo quando for embora,A saudade vai fazer você voltar,Sei que o seu peito chora,Querendo me amar,Mas eu sei que nessa hora,As estrelas vão brilhar, enfim,Pois deixei o meu nome,Escrito no céu,Pra você lembrar de mim,Mesmo quando for embora,A saudade vai fazer você voltar,Sei que o seu peito chora,Querendo me amar,Mas eu sei que nessa hora,As estrelas vão brilhar, enfim,Pois deixei o meu nome,Escrito no céu,Pra você lembrar de mim,Pois deixei o meu nome,Escrito no céu,Pra você lembrar de mim",Pra Você Lembrar de Mim
Maria Cecília e Rodolfo,Sertanejo,"Você chegou tão de repente,Abstrato e tão real,Me envolveu suavemente,Tudo fora do normal,Anjo do céu, estrela do mar,Tem cor de mel o teu olhar,Basta um sorriso pra me enlouquecer,Se fecho os olhos eu posso te ver,Você é meu presente de Deus,História de amor numa canção,Escrevi teu nome junto ao meu,E colei dentro de um coração,Você é meu presente de Deus,História de amor numa canção,Escrevi teu nome junto ao meu,E colei dentro de um coração,Você chegou tão de repente,Abstrato e tão real,Me envolveu suavemente,Tudo fora do normal,Anjo do céu, estrela do mar,Tem cor de mel o teu olhar,Basta um sorriso pra me enlouquecer,Se fecho os olhos eu posso te ver,Você é meu presente de Deus,História de amor numa canção,Escrevi teu nome junto ao meu,E colei dentro de um coração,Você é meu presente de Deus,História de amor numa canção,Escrevi teu nome junto ao meu,E colei dentro de um coração",Presente De Deus
Fernando e Sorocaba,Sertanejo,"O que cê vai fazer quando ele não tiver mais vinte e poucos anos?,O que cê vai fazer quando acabar esse desejo insano?,E quando perceber que o jeito dele já não bate mais com o seu?,Tava tão na cara que ele não ia dar o que prometeu,Quando os corpos não quiserem mais se abraçar,E os olhos desviarem quando ele te olhar, vai doer,Talvez hoje seja tarde pra gente voltar,Não quero estar na sua pele quando me encontrar, vai doer,Vai doer,As razões que me impedem de estar com você,Vai além de te amar, vai além do querer,Vai saber, vai saber,Já não somos tão jovens pra enlouquecer,Nem tão velhos pra ver nosso sonho morrer,Vai saber, vai saber,Não consegui te esquecer,O que cê vai fazer quando ele não ouvir mais o seu coração?,E se ele não sentir mais nem vontade de segurar sua mão?,E quando a rotina começar a te enlouquecer,Vai lembrar que sou o único que poderia te surpreender,Quando os corpos não quiserem mais se abraçar,E os olhos desviarem quando ele te olhar, vai doer,Talvez hoje seja tarde pra gente voltar,Não quero estar na sua pele quando me encontrar, vai doer,Vai doer,As razões que me impedem de estar com você,Vai além de te amar, vai além do querer,Vai saber, vai saber,Já não somos tão jovens pra enlouquecer,Nem tão velhos pra ver nosso sonho morrer,Vai saber, vai saber,Não consegui te esquecer",O Que Cê Vai Fazer
Kleo Dibah & Rafael,Sertanejo,"Não quero mais ficar pensando em você,Eu tenho muito medo, medo de sofrer,Você me olha de um jeito que eu passo mal,To viajando a horas em sua fotografia,A noite tá passando, amanhecendo o dia,Por isso estou dizendo isso não vai rolar,To te lembrando tanto você nem imagina,Já comecei a te escrever em meus versos e rimas,Por isso eu to caindo fora antes de apaixonar,Se eu me entregar eu vou chorar depois,Há muito tempo eu não me apego a um novo amor,O envolvimento vem com o tempo,E o tempo pode machucar,Se eu me entregar eu vou morrer de amor,Eu me imagino te perdendo amanhã ou depois,Sei muito bem o quanto dói um amor forte acabar,É melhor pra nós dois",Se Eu Me Entregar
João Bosco e Vinícius,Sertanejo,"Lembra aquela vez, a desculpa mal contada,Eu tava te traindo com a antiga namorada,Acreditava em tudo, eu mentia, que absurdo!,E você, igual boba, não sabia do meu mundo,Mas uma hora o telhado quebra, a casa cai,Pela porta da frente hoje eu não entro mais,Você descobriu, se escondeu e viu, coração partiu,E hoje, mesmo aqui coberto, eu tô passando frio,Se você voltar e me perdoar,Não vou pegar, eu vou parar, me comportar,Compro aliança e com você eu vou casar,Me dá, dá uma chance de tentar, dá,Um lugarzinho na sua cama pra eu deitar",Um Lugarzinho Na Sua Cama
Lucas Lucco,Sertanejo,"Olhe em mim, diz o que vê,Não, eu não estou tão satisfeito,Não é como diz,Não vou ser feliz com o nosso fim,Não vai ser tão fácil assim,Me deseja boa sorte,Diz que sou especial,Que vou encontrar alguém,Que me queira, coisa e tal,Comprei seu perfume pra lembrar do seu cheiro,Chorei por você aqui em meu travesseiro,Pra sentir sua presença, achei aquele ursinho,Jogado no canto do quarto,Reli as mensagens aqui em meu celular,O último te amo fiz questão de guardar,Como aceitar que você se foi?,Não dá,Olhe em mim, diz o que vê,Não, eu não estou tão satisfeito,Não é como diz,Não vou ser feliz com o nosso fim,Não vai ser tão fácil assim,Me deseja boa sorte,Diz que sou especial,Que vou encontrar alguém,Que me queira, coisa e tal,Comprei seu perfume pra lembrar do seu cheiro,Chorei por você aqui em meu travesseiro,Pra sentir sua presença, achei aquele ursinho,Jogado no canto do quarto,Reli as mensagens aqui em meu celular,O último te amo fiz questão de guardar,Como aceitar que você se foi?,Não dá (ie, ie),Como aceitar que você se foi?,Não dá",Coisa e Tal
Jorge & Mateus,Sertanejo,"Agora já não tem mais jeito,Amar até seus defeitos não dá pra fugir,Se eu tenho um milhão de motivos,Pra te conquistar, eu não vou desistir,Você é frio, é calor,É febre de amor,Saudade de paixão,Eu sigo sempre rumo ao seu coração,Pra ter o seu amor,Eu viajei pelo seu mundo,Me vi com seus olhos,Descobri quem sou,Ai ai ai,Pra ter o seu amor,Te pedi pra Deus de presente,Pra me ver contente,Ele te inventou",Pra Ter o Seu Amor
Jads e Jadson,Sertanejo,"Procurei de toda forma,Palavras lindas pra definir,Tudo que eu sinto por você,Não consegui,Acho que é porque sou um cara bruto,E o pior, o meu vocabulário é xucro,Mesmo assim eu fiz essa canção,Amor, foi de coração,Anjo, puta que pariu, como eu te amo,Anjo, puta que pariu, como eu te quero,Anjo, nem morrendo eu quero te perder,Anjo, sei que sou um trouxa sem você",Anjo
Israel Novaes,Sertanejo,"Alô vó? Tô estourado,Vó, tô estourado,Vó, tô estourado,É mulherada, eu tô largado,Vó, tô estourado,Vó, tô estourado,Vó, tô estourado,E meu avô é o culpado,Quem me teve foi minha mãe,Quem me criou foi minha vó,Ela não me deixou só,Desde pequeno eu ouvi ela falar,Meu filho estude para um dia se formar,Já dizia o meu vô, o contrário da minha vó,Meu filho, faça o que é melhor,Escute agora o conselho que eu vou lhe dar,Não tem nada no mundo melhor do que farrear,18 anos, não queria nem saber,Só beber, curtir, farrear,E quando eu chego,Logo eu boto é pra torar,Eu vou descendo a caixa de Old Parr,Fim de semana, fazer o quê?,Beber, curtir, farrear,E minha vó todo tempo a me ligar,Eu tava na zueira, não dava pra escutar,Alô vó? Tô estourado,Vó, tô estourado,Vó, tô estourado,É mulherada, eu tô largado,Vó, tô estourado,Vó, tô estourado,Vó, tô estourado,E meu avô é o culpado","Vó, Tô Estourado"
Bruno e Marrone,Sertanejo,"Caminhei sozinho pela rua,Falei com as estrelas e com a Lua,Deitei no banco da praça, tentando te esquecer,Adormeci e sonhei com você,No sonho, você veio provocante,Me deu um beijo doce e me abraçou,E bem na hora H, no ponto alto do amor,Já era dia, o guarda me acordou,Seu guarda, eu não sou vagabundo,Eu não sou delinquente,Sou um cara carente,Eu dormi na praça pensando nela,Seu guarda, seja meu amigo,Me bata, me prenda,Faça tudo comigo,Mas não me deixe ficar sem ela,No sonho você veio provocante,Me deu um beijo doce e me abraçou,E bem na hora H, no ponto alto do amor,Já era dia, o guarda me acordou,Seu guarda, eu não sou vagabundo,Eu não sou delinquente,Sou um cara carente,Eu dormi na praça pensando nela,Seu guarda, seja meu amigo,Me bata, me prenda,Faça tudo comigo,Mas não me deixe ficar sem ela",Dormi Na Praça
Eduardo Costa,Sertanejo,"Os dez mandamentos do amor,Para conquistar uma mulher,Tem que ter carinho, tem que ter jeitinho,Tem que dar aquilo que ela quer,Primeiro, tudo começa com a paquera,O seu olhar bem dentro do olhar dela,E com jeitinho lhe tire para dançar,Dance macio pra ela se aconchegar,Segundo, um papo para derrubar avião,Suavemente já pegando sua mão,Terceiro é um cheiro pra sentir o seu perfume,Olhando as outras pra ela sentir ciúmes,O quarto é brincar no escurinho,Ser o lobo mau e ela o chapeuzinho,O quinto tem que ser bem safadinho,Preste atenção agora ao sexto mandamento,Ela não vai te esquecer um só momento,Repita a dose se sentir que ela gostou,Na hora h, lhe chame de meu amor,Sétimo toque é lhe falar de paixão,Falar somente das coisas do coração,Oitavo mandamento, diz para jurar,Lhe ser fiel até a morte lhe levar,No nono você diz que vai voltar,Diz que amanhã vai telefonar,E o décimo,Deixa ela esperar,Os dez mandamentos do amor,Para conquistar uma mulher,Tem que ter carinho, tem que ter jeitinho,Tem que dar aquilo que ela quer,Os dez mandamentos do amor,Para conquistar uma mulher,Tem que ter carinho, tem que ter jeitinho,Tem que dar aquilo que ela quer",Os 10 Mandamentos do Amor
Jorge & Mateus,Sertanejo,"Só queria ter o seu abraço,Pra ver se eu disfarço,Essa falta de você,Poder tocar, sentir o gosto do seu lábio,Entrar no compasso e o seu coração bater,Olhar nos seus olhos e dizer,Sem você, não importa se é doce ou salgado,Se tá quente ou gelado,Se faz Sol ou vai chover,Eu achei que tava certo, fui errado,Era leve tá pesado,Ficar longe de você,Pro escuro ficar claro,O sozinho acompanhado,É só a gente ficar junto e não separado,Eu só existo se for do seu lado,Se for do seu lado,Eu só queria ter o seu abraço,Pra ver se eu disfarço,Essa falta de você,Poder tocar, sentir o gosto do seu lábio,Entrar no compasso e o seu coração bater,Olhar nos seus olhos e dizer,Sem você, não importa se é doce ou salgado,Se tá quente ou gelado,Se faz Sol ou vai chover,Eu achei que tava certo, fui errado,Era leve tá pesado,Ficar longe de você,Pro escuro ficar claro,O sozinho acompanhado,É só a gente ficar junto e não separado,Eu só existo se for do seu lado,Sem você, não importa se é doce ou salgado,Se tá quente ou gelado,Se faz Sol ou vai chover,Eu achei que tava certo, fui errado,Era leve tá pesado,Ficar longe de você,Pro escuro ficar claro,O sozinho acompanhado,É só a gente ficar junto e não separado,Eu só existo se for do seu lado,Se for do seu lado",Antônimos
César Menotti e Fabiano,Sertanejo,"Só tem um jeito de você me entender,Uma maneira que te faça enxergar,Eu já cansei de discutir com você,Não adianta mais falar por falar,Há muito tempo que eu venho pensando,Analisando nós dois,Perdi meu tempo com você só brigando,Não vou deixar pra depois,Você não vai mudar,É fácil presumir,A sua vida de aventura dura pouco tempo,Até se arrepender,Depois lá vem você,Pedindo pra voltar,Como já fez milhões de vezes,Vem se lamentando,Sofrendo, chorando,É digno de você,Não sei se dá pra ver,Mas acho que eu estou mudando,Houve um tempo em que eu não podia nem te ver,Agora posso estar de frente a você,Que meu coração não sente mais nada,Me desculpa te falar, mas tenho que dizer,Que hoje, mesmo acreditando em você,Você se apaixonou por mim na hora errada,Tarde demais!,Tchau, tchau, amor! Tarde demais!,Tchau, tchau, já vou!,Não volto atrás",Tarde Demais
Humberto e Ronaldo,Sertanejo,"Foi tudo como eu sonhei,Ter você nos meus braços, pequena,Te desejei,Eu vi crescer um amor de cinema,E o riso solto no ar,De quem ama, se entrega e aceita o que vier,Eu nunca mais vou deixar, minha pequena,Beijo a tua boca doce como o mel,Sentir teu carinho é me encontrar no céu,Usa teus encantos pra me conquistar,E deixe o tempo ver, ver no que vai dar,O nosso amor é puro, sempre vai durar,Não penso em te perder, nem penso em te deixar,Tá frio, o céu tão claro e eu a te amar,E deixe o tempo ver, ver no que vai dar,O nosso amor é puro, sempre vai durar,Não penso em te perder, nem penso em te deixar,A chama da paixão está em seu olhar,Beijo a tua boca doce como o mel,Sentir teu carinho é me encontrar no céu,Usa teus encantos pra me conquistar,E deixe o tempo ver, ver no que vai dar,O nosso amor é puro, sempre vai durar,Não penso em te perder, nem penso em te deixar,Tá frio, o céu tão claro e eu a te amar,E deixe o tempo ver, ver no que vai dar,O nosso amor é puro, sempre vai durar,Não penso em te perder, nem penso em te deixar,A chama da paixão está em seu olhar,Ha ha, seu olhar",Deixe o Tempo Ver
