artist,genre,lyric,title
Dennis DJ,Funk,"Malandramente,A menina inocente,Se envolveu com a gente,Só pra poder curtir,Malandramente,Fez cara de carente,Envolvida c'a tropa,Começou a seduzir,Malandramente,Meteu o pé pra casa,Diz que a mãe tá ligando,Nós se vê por ai,Ai safada!,Na hora de ganhar madeirada,A menina meteu o pé pra casa,E mandou um recadinho pra mim,(Nós se vê por aí),(Nós se vê por aí),(Nós se vê por aí),(Nós se vê por aí),Ai safada!,Na hora de ganhar madeirada,A menina meteu o pé pra casa,E mandou um recadinho pra mim,(Nós se vê por aí),(Nós se vê por aí),(Nós se vê por aí),Malandramente",Malandramente (part. MC Nandinho e MC Nego Bam)
MC Koringa,Funk,"Quem quer curtir a vida,Quem quer se divertir,Vem com o mc Koringa,E deixa o corpo sacudir,Vai, danada, vem que tem,Rebola até o chão,Requebra que hoje,Eu quero ver bumbum mexendo,Vou pedir pro DJ tocar só pra te ver dançar,Vem pro meu mundo se acabar,Vai, danada, vem que tem,Rebola até o chão,Requebra que hoje,Eu quero ver bumbum mexendo,Vou pedir pro DJ tocar só pra te ver dançar,Vem pro meu mundo se acabar,Hoje a noite tá boa pra curtir,Solta o corpo, balança, vem dançar,Se você gosta de se divertir,Pega lá mais um copo e vem pra cá,O DJ vai soltar um pancadão,Porque essa eu fiz para você dançar,Na batida do funk tamborzão,Na noite carioca,O funk é isso aí,Quem tá de fora vem,Quem tá dentro não quer sair,Quem quer curtir a vida,Quem quer se divertir,Vem com o mc Koringa,E deixa o corpo sacudir,Hoje a noite tá boa pra curtir,Solta o corpo, balança, vem dançar,Se você gosta de se divertir,Pega lá mais um copo e vem pra cá,O DJ vai soltar um pancadão,Porque essa eu fiz para você dançar,Na batida do funk tamborzão,Na noite carioca,O funk é isso aí,Quem tá de fora vem,Quem tá dentro não quer sair,Quem quer curtir a vida,Quem quer se divertir,Vem com o mc Koringa,E deixa o corpo sacudir",Danada Vem Que Vem
MC Lon,Funk,"Muitas maldades, mano, meu manera,Menor, muleque maloqueiro,Mundo mágico, menino mulherengo.,Misterioso, malvado, me mostrou malandros malandriados,Maioral, melhores momentos,Marginal, maldito movimento,Melodia, memória mó mensageiro,Malicioso, mantimento mantemo,Mafioso moderno, mal-humorado, mó mistério,Mercadoria milagrosa, máfia monstra, milícia, milhões manobra,Maestro mostrando, mil maneira mudar modernizando,Magia, mal-feitor, mantendo maligno,Manifestações milimétricas montadas,Missão mole, magnata, meu medo, mina molhada,Mudança maliciosa, moeda, melhora,Mundo ""M"", menino maquinado,Mundo ""M"", militares mutilados,Mundo ""M"", mania montada,Musica monstra, MC mete mó mala,Mundo ""M"", menino maquinado,Mundo ""M"", militares mutilados,Mundo ""M"", mania montada,Musica monstra, MC mete mó mala,Melhor Dj vai vendo, e o chicote estrala,Vai vai o chicote estrala,Esse muleque louco treinado, claro que é o DJ Bala,Mandando muito, cantando ta normal,Moleque ta no not mandando é profissional,Muitas maldades, mano, meu manera,Menor, muleque maloqueiro,Mundo mágico, menino mulherengo.,Misterioso, malvado, me mostrou malandros malandriados,Maioral, melhores momentos,Marginal, maldito movimento,Melodia, memória mó mensageiro,Malicioso, mantimento mantemo,Mafioso moderno, mal-humorado, mó mistério,Mercadoria milagrosa, máfia monstra, milícia, milhões manobra,Maestro mostrando, mil maneira mudar modernizando,Magia, mal-feitor, mantendo maligno,Manifestações milimétricas montadas,Missão mole, magnata, meu medo, mina molhada,Mudança maliciosa, moeda, melhora,Mundo ""M"", menino maquinado,Mundo ""M"", militares mutilados,Mundo ""M"", mania montada,Musica monstra, MC mete mó mala,Mundo ""M"", menino maquinado,Mundo ""M"", militares mutilados,Mundo ""M"", mania montada,Musica monstra, MC mete mó mala.",Mundo M
Mc Fininho,Funk,"Essa é uma historia de amor proibido,Que teve fim e implacavel destino,E até hoje muita gente chora,Quando mc fininho relata essa historia,Muleque bom com futuro interrompido,A vida loca sempre foi o seu instinto,Pois nunca soube oque é o amor de uma familia,Oque aprendeu foi na escola da vida,Num baile funk dentro da comunidade,Conheceu sua cara metade,Falou pra ela que queria se casar,Mais nao sabia o preço que isso ia te custar,E o pai dela homem da lei considerado,Ficou sabendo e disse que ta tudo errado,Não criei filha pra casar com um bandido,Vou por um fim logo nesse amor proibido,Em uma falsa operação pela favela,Vasculhou tudo entre becos e vielas,Ficou sabendo de uma noticia que chocou,O vida loca largou tudo por amor,Mais ja é tarde não da pra voltar atras,Oque ele fez com o ser humano nao se faz,Desnortiado mais nao arrependido,Falou para o muleque faz seu ultimo pedido,O muleque falou,Fala pra sua filha que eu a amo,Não vai ser me matando,Que você vai estar nos separando,Nossos corações estão,Preparados pra qualquer barreira,Isso não é brincadeira,O nosso amor vai ser pra vida inteira,E la se foi mais um guerreiro injustiçado,A favela toda chorou quando ouviu os disparos,Muita gente se emocionou quando parou pra ver,Repercutiu no mundo todo e cenas de tv,E até hoje ela chora,E não se conforma,Por culpa do seu pai seu grande amor foi embora,E oque restou pra ela as lembranças de um amor proibido,Lalaia laia laia laia laia ... essa é a historia de um amor proibido(2x)",Amor Proibido
MC Livinho,Funk,"Lá vem ela,Corrigir o meu bilau,Pepeca do mal, não deixa anal,Pepeca do mal, não deixa anal,Pepeca do mal, não deixa anal,Já que não quer dar o cuzinho,Então desliza no bilau,Pepeca do mal, não deixa anal,Pepeca do mal, não deixa anal,Pepeca do mal, não deixa anal,Eu ponho com carinho,Te prometo não ser vrawn!,Pepeca do mal, não deixa anal,Pepeca do mal, não deixa anal,Pepeca do mal, não deixa anal,Já que não quer dar o cuzinho,Então desliza no bilau",Pepeca do Mal
MC Marks,Funk,"(Ai, ai, ai, ai, ai),(Ai, ai, ai, ai, ai),(É o Marks novamente e o DJ Muka),Eu acho que essa vida não me satisfaz,Eu juro que eu quero me mudar daqui,Vou atrás do progresso pra me adiantar,Só quero ver minha família mais feliz,Um sorriso no rosto da minha coroa,Vale mais que barra de ouro,E se tudo der certo,Daqui um tempo, nóis vai tá sorrindo à toa,Meto marcha vou buscar o que é nosso,Vou mostrar que favelado também pode,Dá risada da cara de quem desmerece,Olha só, o menor hoje de Porsche,Abre a janela pro vento bater,O que for ruim deixa o vento levar,Enquanto eu tiver forças pra viver,Eu nunca vou deixar de sonhar,Abre a janela pro vento bater,O que for ruim deixa o vento levar,Enquanto eu tiver forças pra viver,Eu nunca vou deixar de sonhar,Como dizia Racionais,Eu sempre fui um sonhador,E é isso que me mantém vivo,Aê menor, vai buscar o que é seu,Porque o que é seu só você pode alcançar,Nunca deixe de sonhar,É o Marks novamente,Eu nunca vou deixar de sonhar,E se Deus é por nóis, quem será contra nóis?,A favela venceu, deixa os menor voar,E se Deus é por nóis, quem será contra nóis?,A favela venceu, deixa os menor voar,E se Deus é por nóis, quem será contra nóis?,A favela venceu, deixa os menor voar,E se Deus é por nóis, quem será contra nóis?,A favela venceu, deixa os menor voar,(Ai, ai, ai, ai, ai),(Ai, ai, ai, ai, ai),(É o Marks novamente e o DJ Muka),Eu acho que essa vida não me satisfaz,Eu juro que eu quero me mudar daqui,Vou atrás do progresso pra me adiantar,Só quero ver minha família mais feliz,Um sorriso no rosto da minha coroa,Vale mais que barra de ouro,E se tudo der certo,Daqui um tempo, nóis vai tá sorrindo à toa,Meto marcha vou buscar o que é nosso,Vou mostrar que favelado também pode,Dá risada da cara de quem desmerece,Olha só, o menor hoje de Porsche,Abre a janela pro vento bater,O que for ruim, deixa o vento levar,Enquanto eu tiver forças pra viver,Eu nunca vou deixar de sonhar,Abre a janela pro vento bater,O que for ruim, deixa o vento levar,Enquanto eu tiver forças pra viver,Eu nunca vou deixar de sonhar,Como dizia Racionais,Eu sempre fui um sonhador,E é isso que me mantém vivo,Aê menor, vai buscar o que é seu,Porque o que é seu só você pode alcançar,Nunca deixe de sonhar,É o Marks novamente,Eu nunca vou deixar de sonhar",Deus É Por Nós
Jorge & Mateus,Sertanejo,"E pra deixar acontecer,A pena tem que valer,Tem que ser com você,Nós, livres pra voar,Nesse céu que hoje tá tão lindo,Carregado de estrelas,E a Lua tá cheia refletindo o seu rosto,Dá um gosto de pensar,Eu, você e o céu e a noite inteira pra amar,E quando o Sol chegar,A gente ama de novo,A gente liga pro povo,Fala que tá namorando,E casa semana que vem,Deixa o povo falar,O que é que tem?,Eu quero ser lembrado com você,Isso não é problema de ninguém,Eu quero ser lembrado com você,Isso não é problema de ninguém,E pra deixar acontecer,A pena tem que valer,Tem que ser com você,E nós, livres pra voar,Nesse céu que hoje tá tão lindo,Carregado de estrelas,E a Lua tá cheia refletindo o seu rosto,Dá um gosto de pensar,Eu, você e o céu e a noite inteira pra amar,E quando o Sol chegar,A gente ama de novo,A gente liga pro povo,Fala que tá namorando,E casa semana que vem,Deixa o povo falar,O que é que tem?,Eu quero ser lembrado com você,Isso não é problema de ninguém,Eu quero ser lembrado com você,Isso não é problema de ninguém,E pra deixar acontecer,A gente liga pro povo,Fala que tá namorando,E casa semana que vem,Deixa o povo falar,O que é que tem?,Eu quero ser lembrado com você,Isso não é problema de ninguém,Eu quero ser lembrado com você,Isso não é problema de ninguém",O Que É Que Tem?
MC Daleste,Funk,"Quando comecei passava mó dificuldade,E lá em casa era fora de realidade,É revoltante eu sei senti o gosto do veneno,Até meus 13 anos de idade não tinha banheiro,E lá em casa as paredes eram de madeira,Lembro como se fosse agora quando abri a geladeira,Não tinha nada pra comer e a barriga vazia,Acho que posso conseguir aguentar por mais alguns dias,Mas amanhã eu vou pra escola e como na merenda,Sábado e domingo é difícil mas a gente aguenta,Mas a fome não é nada em relação ao principal,Nunca entendi por que nunca tive uma família normal,Minha mãe e meu pai trabalhando eu e meu irmão na escola,Minha irmã mais velha na faculdade mas a vida é foda,Tudo ao contrario meu destino aconteceu,Mas entreguei isso tudo (uuuh) nas mãos de Deus,E hoje estou aqui passando adiante,Cantando a minha história em cima de um batidão do funk,Muito obrigado a atenção de todos vocês,O resto desta historia venho cantar outra vez,Mas uma coisa eu tenho a dizer,Nunca desista de verdade por que,[Eu sou vencedor na porra do bagulho,Eu sou funkeiro sim e disso me orgulho,Levo no peito as cicatrizes do preconceito,Quem não é mete o pé e quem é ganha meu respeito,E é por isso que eu estou promovendo,A guerra dos funkeiro que que significa isso ai?,Segura ai DJ,Tem muita gente preconceituosa certo?,Que oprime nosso estilos de vida certo? Eu sou funkeiro,Todo mundo aqui é funkeiro, certo,Então tem muitas vidas envolvidas nesse meio certo?,E tem muita gente que faz chacota tá ligado!,Por que nóis é funkeiro, nóis é favelado e não tem onde morar certo irmão!?,Mas aí minha agenda graças a Deus tá lotada e de lugares,Classe a certo, então não é só o favelado que curte funk certo,Pessoas de classe média,classe alta, e classe baixa curte funk,Porque funk é cultura sim, então,Essa é a guerra dos funkeiros quem tá envolvido levanta a mão pro alto é assim que é rapaz",Minha História
Tchakabum,Funk,"Vou te pegar, essa é a galera do avião,Se ligue agora nessa nova onda,Sou um pirata no rei da embarcação, ô ô ô,Vou navegar, cumprindo as ordens do meu capitão,Capitão tchaka vem dançando com a galera,Nessa aventura que é pura emoção, olha a onda!,Onda, onda, olha a onda,Onda, onda, olha a onda,Onda, onda, olha a onda,Onda, onda, olha a onda,Vou te molhar, vou te banhar, vai sacudir vai abalar,Vou te molhar, vou te banhar, vai sacudir vai abalar,Molhou o seu rostinho, molhou a barriguinha,Molhou o seu pezinho, molhou todo corpinho deixa que eu vou te enxugar,Molhou o seu rostinho, molhou a barriguinha,Molhou o seu pezinho, molhou todo corpinho deixa que eu vou te enxugar,Balança pra lá, balança pra cá,Sacudiu tremeu, treme sem parar,Balança pra lá, balança pra cá,Sacudiu tremeu, treme sem parar,Capitão mandou; o marujo: Sim, senhor!,Capitão mandou; o marujo: Sim, senhor!,E o capitão mandou; o marujo: Sim, senhor!,Andou na prancha, cuidado o tubarão vai te pegar,Andou na prancha, cuidado o tubarão vai te pegar,Andou na prancha, cuidado o tubarão vai te pegar,Andou na prancha, cuidado o tubarão vai te pegar,Onda, onda, olha a onda,Onda, onda, olha a onda,Onda, onda, olha a onda,Onda, onda, olha a onda",Tesouro do Pirata
MC Neguinho do Kaxeta,Funk,"Olha os problemáticos, ladrões de cena,Quando estiver triste lembre, a primeira é pra baixo,O resto é pra cima, acelera e põe pra derreter no asfalto,O vento na cara, disparo e logo passo,Meu amor em duas rodas sempre me tranquilizou,Nós até pilota pra caraca,Mas é cada livramento que Papai do Céu nos dá,Puxou, cortou, passou igual um raio,Raspou de leve, enrolou o cabo, quero ver pegar,Não é por querer aparecer, não,Nós gostamos de acelerar, sim,Corpo maquinário, uma conexão,Só Deus guia os loucos, evita que seja breve o fim,Olha os problemáticos, ladrões de cena,As vezes sarcástico, ficou pra trás? Que pena!,Sabichão, postura e pras louca nós dá problema,Progresso aos bons, viver intensamente é o lema,Olha os problemáticos, ladrões de cena,As vezes sarcástico, ficou pra trás? Que pena!,Sabichão, postura e pras louca nós dá problema,Progresso aos bons, viver intensamente é o lema,E desde pivete, ousado, grau de magrela,Dei bote, montei o bode mas nunca dei guela,Fui evoluindo e aumentando a preocupação,Da dona Maria quando eu lancei meu XJotão,Olha os problemáticos, ladrões de cena,As vezes sarcástico, ficou pra trás? Que pena!,Sabichão, postura e pras louca nós dá problema,Progresso aos bons, viver intensamente é o lema,Olha os problemáticos, ladrões de cena,As vezes sarcástico, ficou pra trás? Que pena!,Sabichão, postura e pras louca nós dá problema,Progresso aos bons, viver intensamente é o lema",Problemático
