,precision,recall,f1-score,support
hip_hop,0.8529411764705882,0.7073170731707317,0.7733333333333334,41.0
funk,0.7906976744186046,0.8292682926829268,0.8095238095238095,41.0
sertanejo,0.8085106382978723,0.9047619047619048,0.853932584269663,42.0
accuracy,0.8145161290322581,0.8145161290322581,0.8145161290322581,0.8145161290322581
macro avg,0.817383163062355,0.813782423538521,0.812263242375602,124.0
weighted avg,0.8173116104432866,0.8145161290322581,0.8125992854553927,124.0
